Customer_Id,Industry,Financial Needs,Preferences,Revenue(in dollars),No of Employees
721552c1-48f8-4a54-80d4-00f60beef17b,Technology,Insurance,High Returns,345972,312
7fdbd494-2533-46d0-893b-0393928c6721,Manufacturing,Investment,Eco-Friendly,461927,148
11770b26-bc89-46cc-bd72-a7c6c185d295,Retail,Insurance,Low Risk,315564,273
f56f8e4e-0f1c-4031-b9f8-443352dffb27,Manufacturing,Savings,Low Risk,408896,374
1f07682b-3094-4859-9128-43f97c9f743c,Manufacturing,Investment,Luxury,181373,128
6515462b-b62d-4965-aae2-79faa40b5dd6,Healthcare,Retirement Plan,Eco-Friendly,488452,110
bd299418-8598-46e9-b880-f80acf5a92a3,Retail,Loan,Budget-Friendly,165294,162
7618c07f-f72c-44cd-999a-49712f7a73a2,Retail,Insurance,Eco-Friendly,497456,151
52241a1d-a988-42e2-b06a-71f984804d72,Retail,Loan,Luxury,174019,149
23ad48ed-797c-4ca9-9d3f-28224c625e5b,Manufacturing,Loan,Luxury,115726,124
ace4edae-e39b-4b56-ba94-ea3cd44aa9ab,Technology,Investment,Eco-Friendly,191564,323
2730262f-ee12-45b0-82e5-3c83f0dc6e3a,Retail,Loan,Luxury,427812,279
41e593ea-5901-4adf-9bba-8fd653a09c33,Manufacturing,Retirement Plan,Eco-Friendly,318246,96
f9cd3e55-e541-4cba-9d4d-cc734ff73e0d,Healthcare,Loan,High Returns,231408,62
b155bea3-cb6f-4c46-bc6c-b83c73c3ea51,Technology,Investment,Eco-Friendly,168015,443
4702936e-8dd2-4b95-81f9-e7a05122b25e,Healthcare,Retirement Plan,Eco-Friendly,266386,350
52232cfb-c5f8-47f8-89b2-d9c3197eba2f,Technology,Savings,Luxury,304079,233
3a646685-3155-4887-a974-7bfbdc6c76ea,Manufacturing,Loan,Luxury,76641,478
b0ff8a85-1ff0-4bd4-a23c-0e8b9774ccfe,Finance,Investment,Low Risk,215656,121
55ac8e17-9acc-40d1-b221-a88e63966802,Technology,Savings,Low Risk,213817,322
a9311185-407b-45fb-8548-b6081f133146,Healthcare,Savings,High Returns,466309,283
65bfebe2-a163-4992-8699-1a47bb562acc,Manufacturing,Insurance,Low Risk,415890,131
4966989c-65c4-427b-aab8-71c48e8c0848,Technology,Retirement Plan,Eco-Friendly,495101,397
fa6261d6-0abf-445d-b636-6c21b55f21dc,Finance,Loan,Luxury,86631,400
924c4d6f-dcd8-4a55-913c-880d41571926,Finance,Investment,Low Risk,292289,133
216478ef-b420-47e1-a84b-7c882be2f2a5,Retail,Insurance,Low Risk,122991,62
